Entity,Year,GDP per capita - Region: global,GDP per capita - Region: global (Annotations)
SSP4 - 4.5,2060,26833.111,Inequality - A Road Divided
SSP4 - 4.5,2070,29747.957,Inequality - A Road Divided
SSP4 - 4.5,2080,32453.256,Inequality - A Road Divided
SSP4 - 4.5,2090,35137.434,Inequality - A Road Divided
SSP4 - 4.5,2100,37890.074,Inequality - A Road Divided
SSP4 - 6.0,2010,9706.811,Inequality - A Road Divided
SSP4 - 6.0,2020,13089.16,Inequality - A Road Divided
SSP4 - 6.0,2030,17103.953,Inequality - A Road Divided
SSP4 - 6.0,2040,20811.18,Inequality - A Road Divided
SSP4 - 6.0,2050,23955.953,Inequality - A Road Divided
SSP4 - 6.0,2060,26833.111,Inequality - A Road Divided
SSP4 - 6.0,2070,29747.957,Inequality - A Road Divided
SSP4 - 6.0,2080,32453.256,Inequality - A Road Divided
SSP4 - 6.0,2090,35137.434,Inequality - A Road Divided
SSP4 - 6.0,2100,37890.074,Inequality - A Road Divided
SSP4 - Baseline,2005,8716.303,Inequality - A Road Divided
SSP4 - Baseline,2010,9706.811,Inequality - A Road Divided
SSP4 - Baseline,2020,13089.16,Inequality - A Road Divided
SSP4 - Baseline,2030,17103.953,Inequality - A Road Divided
SSP4 - Baseline,2040,20811.18,Inequality - A Road Divided
SSP4 - Baseline,2050,23955.953,Inequality - A Road Divided
SSP4 - Baseline,2060,26833.111,Inequality - A Road Divided
SSP4 - Baseline,2070,29747.957,Inequality - A Road Divided
SSP4 - Baseline,2080,32453.256,Inequality - A Road Divided
SSP4 - Baseline,2090,35137.434,Inequality - A Road Divided
SSP4 - Baseline,2100,37890.074,Inequality - A Road Divided
SSP5 - 1.9,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,20213.559,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,29346.662,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,39445.156,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,51298.17,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,66217.336,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,83719.516,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,104584.34,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,130183.055,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,20449.467,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,30286.803,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,40983.797,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,53091.164,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,68203.85,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,85768.29,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,106448.73,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,132230.52,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,20461.883,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,30441.51,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,41426.74,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,53859.586,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,69055.22,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,86987.805,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,108172.65,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,133789.83,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,20474.299,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,30512.912,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,41659.867,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,54325.3,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,69705.57,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,88146.34,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,110228.58,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,137220.34,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,20536.379,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,30739.021,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,42091.152,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,54977.297,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,70509.64,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,88914.63,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,111148,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,138305.08,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,20586.045,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,30965.13,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,42510.78,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,55687.508,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,71632.97,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,90317.07,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,112667.6,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,139796.61,Fossil-fueled Development - Taking the Highway
