Entity,Year,Temperature - Region: global,Temperature - Region: global (Annotations)
SSP5 - 6.0,2080,3.0096278,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,3.1897693,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,3.3276546,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,0.9133863,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,0.9891235,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,1.2658011,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,1.6029602,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,2.0127497,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,2.48049,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,2.9755037,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,3.503795,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,4.0499,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,4.5756955,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,5.0519667,Fossil-fueled Development - Taking the Highway
